trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.8, 'e': 0.61878339180614084}",30,13,6.376338033663027,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.6138528730428171}",30,0,-74.99256391091201,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.60896164107289685}",35,0,-6.452705626537293,"{0: 29, 1: 3, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.8, 'e': 0.60410938285586468}",20,0,-69.16784159158149,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.8, 'e': 0.59929578784553839}",20,0,-37.0997581487902,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.8, 'e': 0.59452054797019438}",20,0,-59.44020033291016,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.8, 'e': 0.58978335761285039}",25,0,-195.86872193661878,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
68,False,"{'a': 0.8, 'e': 0.58508391359170686}",20,0,-129.80520184388362,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
69,False,"{'a': 0.8, 'e': 0.58042191514074237}",20,0,-14.429702111838507,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.8, 'e': 0.57579706389046448}",20,0,-61.69943118494659,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
71,False,"{'a': 0.8, 'e': 0.57120906384881487}",20,4,-0.521981460534491,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.56665762138222464}",20,0,-102.75550811193212,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
73,False,"{'a': 0.8, 'e': 0.56214244519682244}",30,2,-71.97054400561393,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 1}",1
74,False,"{'a': 0.8, 'e': 0.55766324631979125}",25,12,11.995031318046099,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.55321973808087388}",25,12,-5.715265946808836,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.5488116360940265}",30,0,-165.46475825610366,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
77,False,"{'a': 0.8, 'e': 0.54443865823921711}",25,0,2.922428976019765,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.8, 'e': 0.54010052464437064}",20,2,-41.41919244026948,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
79,False,"{'a': 0.8, 'e': 0.53579695766745605}",30,9,15.40362503311924,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.53152768187871791}",20,0,4.382454187467477,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.8, 'e': 0.52729242404304855}",25,10,-99.83070833731485,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
82,False,"{'a': 0.8, 'e': 0.52309091310250078}",25,12,-72.65877046616228,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
83,False,"{'a': 0.8, 'e': 0.51892288015894039}",25,0,-46.57976138101418,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.8, 'e': 0.51478805845683617}",30,0,-82.94769397604134,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
85,False,"{'a': 0.8, 'e': 0.51068618336618787}",20,9,8.919334465518014,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.50661699236558955}",20,1,-61.03172885140579,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
87,False,"{'a': 0.8, 'e': 0.50258022502542832}",30,0,-73.62444145499157,"{0: 23, 1: 3, 2: 1, 3: 2, 4: 1}",0
88,False,"{'a': 0.8, 'e': 0.49857562299121649}",25,0,-101.65365796055295,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
89,False,"{'a': 0.8, 'e': 0.49460292996705701}",30,0,-142.2320909338911,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
90,False,"{'a': 0.8, 'e': 0.49066189169924013}",25,0,-33.108689254348505,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.48675225595997168}",30,6,-11.72489849771138,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.48287377253122976}",25,0,-68.96962628522448,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.8, 'e': 0.47902619318875111}",25,0,-103.984691194197,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
94,False,"{'a': 0.8, 'e': 0.47520927168614446}",20,0,-43.82335088906771,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
95,False,"{'a': 0.8, 'e': 0.47142276373913089}",30,0,-11.630232962952888,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.8, 'e': 0.46766642700990924}",20,5,-18.150169758749836,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.46394002109164673}",20,0,9.29013893985319,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.8, 'e': 0.46024330749309256}",35,0,-33.83687562261668,"{0: 31, 1: 0, 2: 2, 3: 1, 4: 1}",0
99,False,"{'a': 0.8, 'e': 0.45657604962331472}",20,0,-56.05715861218936,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
100,False,"{'a': 0.8, 'e': 0.45293801277655771}",30,0,-23.699004613659792,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 0.44932896411722156}",20,0,-39.39268705719029,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
102,False,"{'a': 0.8, 'e': 0.44574867266496021}",20,0,-55.65971810652818,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
103,False,"{'a': 0.8, 'e': 0.44219690927989863}",20,9,-37.993174947023576,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.8, 'e': 0.43867344664796781}",20,9,-2.341376399727862,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.43517805926635666}",30,2,-16.158924385161402,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.43171052342907973}",20,1,-115.49910866527179,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
107,False,"{'a': 0.8, 'e': 0.42827061721265969}",20,14,9.546816545610943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.42485812046192456}",20,0,-56.19991342601695,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
109,False,"{'a': 0.8, 'e': 0.42147281477591764}",35,18,-20.454496085282152,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.41811448349391933}",25,0,0.17034689371980272,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.8, 'e': 0.41478291168158138}",25,0,-8.40592016102305,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.8, 'e': 0.41147788611717057}",20,3,-15.480391330795438,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.4081991952779227}",25,0,-82.39345617691312,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
114,False,"{'a': 0.8, 'e': 0.40494662932650488}",20,0,-117.83942486984189,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
115,False,"{'a': 0.8, 'e': 0.40171998009758603}",25,18,1.128407083026377,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.39851904108451414}",20,8,-0.06904117087771855,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.8, 'e': 0.39534360742609981}",30,8,-20.406555444031678,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.8, 'e': 0.39219347589350495}",25,6,15.78892044021438,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.3890684448772363}",25,0,21.07998730857287,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.38596831437424212}",25,12,-68.33139503042507,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
121,False,"{'a': 0.8, 'e': 0.38289288597511206}",20,2,29.620668244846573,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.37984196285137872}",20,4,2.63727092574704,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.8, 'e': 0.37681534974292086}",25,0,-14.909764038462324,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
124,False,"{'a': 0.8, 'e': 0.37381285294546651}",30,19,-28.828918881433992,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.37083428029819565}",20,14,10.94134233202318,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.36787944117144233}",20,0,-26.61779892812005,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.8, 'e': 0.36494814645449375}",30,0,-24.47686545462588,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.8, 'e': 0.36204020854348745}",25,0,-24.786481805564232,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.8, 'e': 0.35915544132940458}",25,0,-49.09220434734607,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
130,False,"{'a': 0.8, 'e': 0.35629366018615882}",20,0,-12.193475958933547,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
131,False,"{'a': 0.8, 'e': 0.35345468195878016}",30,16,7.019611151710802,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.35063832495169295}",30,4,20.1860034673899,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.8, 'e': 0.3478444089170874}",20,0,9.63591784301741,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
134,False,"{'a': 0.8, 'e': 0.34507275504338375}",25,3,4.046263711721412,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.34232318594378797}",20,0,1.3262671700795567,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
136,False,"{'a': 0.8, 'e': 0.33959552564493911}",25,0,-32.97100175753331,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
137,False,"{'a': 0.8, 'e': 0.33688959957564707}",20,1,11.548907717894282,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.33420523455571977}",30,0,-10.135553681023252,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.8, 'e': 0.3315422587848797}",25,5,-17.653360512003655,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.8, 'e': 0.3289005018317685}",30,6,-48.90993465400618,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1
141,False,"{'a': 0.8, 'e': 0.32627979462303947}",20,0,-29.195241077208877,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
142,False,"{'a': 0.8, 'e': 0.32367996943253668}",25,15,13.365762864816169,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.8, 'e': 0.32110085987056064}",25,8,5.568725172339969,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 0.31854230087321894}",30,0,-37.35846947017553,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
145,False,"{'a': 0.8, 'e': 0.31600412869186245}",20,4,-81.96732509086628,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
146,False,"{'a': 0.8, 'e': 0.31348618088260533}",30,0,-31.395780630039066,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
147,False,"{'a': 0.8, 'e': 0.31098829629592811}",25,15,19.267887678808076,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.30851031506636473}",25,0,-37.41367642144377,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
149,False,"{'a': 0.8, 'e': 0.30605207860227068}",20,0,-29.4694430078219,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
150,False,"{'a': 0.8, 'e': 0.30361342957567317}",25,0,-62.72367837061852,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
151,False,"{'a': 0.8, 'e': 0.30119421191220214}",25,13,22.191605260582406,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.8, 'e': 0.29879427078110127}",25,13,-19.482849602461847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.8, 'e': 0.29641345258531909}",25,9,-42.01429428049697,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
154,False,"{'a': 0.8, 'e': 0.29405160495167837}",25,0,16.03147262853421,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.29170857672112438}",20,9,-1.6067940054599923,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.28938421793905061}",25,0,-32.5255468979564,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
157,False,"{'a': 0.8, 'e': 0.28707837984570167}",20,15,5.909852179454873,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.28479091486665248}",20,0,-23.37456175035077,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
159,False,"{'a': 0.8, 'e': 0.28252167660336358}",25,0,-24.620291262569538,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.8, 'e': 0.28027051982381157}",20,16,9.21614285256407,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.27803730045319414}",30,22,15.422788494842964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.27582187556470933}",25,0,-2.9889005281253,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
163,False,"{'a': 0.8, 'e': 0.27362410337040804}",30,0,-36.605962866522034,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",1
164,False,"{'a': 0.8, 'e': 0.27144384321211973}",25,5,5.63817137090218,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.26928095555244996}",25,10,-50.18654160678511,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
166,False,"{'a': 0.8, 'e': 0.26713530196585034}",25,0,-19.85234780010391,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
167,False,"{'a': 0.8, 'e': 0.26500674512975891}",20,0,-91.50049395895277,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
168,False,"{'a': 0.8, 'e': 0.26289514881581166}",20,4,-61.90355677524451,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
169,False,"{'a': 0.8, 'e': 0.26080037788112365}",25,15,-22.917132929748057,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.8, 'e': 0.25872229825964005}",25,0,-34.99233800448185,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
171,False,"{'a': 0.8, 'e': 0.25666077695355588}",30,0,-82.09027863650911,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
172,False,"{'a': 0.8, 'e': 0.25461568202480372}",25,15,3.115444755720506,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.25258688258661022}",35,0,-13.275215948611672,"{0: 30, 1: 1, 2: 3, 3: 1, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.25057424879511875}",30,6,-28.468017608632977,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 1}",1
175,False,"{'a': 0.8, 'e': 0.24857765184107966}",25,16,11.914359437149942,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.24659696394160643}",20,2,-56.03540440934342,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
177,False,"{'a': 0.8, 'e': 0.2446320583319975}",20,0,-66.1947498166932,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
178,False,"{'a': 0.8, 'e': 0.24268280925762298}",20,0,-30.025474097491745,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
179,False,"{'a': 0.8, 'e': 0.24074909196587688}",20,0,1.9891767561125004,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.8, 'e': 0.23883078269819244}",20,0,13.700854510871572,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.8, 'e': 0.23692775868212176}",25,10,-20.720694664177167,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.8, 'e': 0.23503989812347828}",30,23,1.2509469210596285,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.23316708019854179}",35,6,6.986564464227083,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.23130918504632592}",25,12,11.230407767403378,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.8, 'e': 0.22946609376090668}",25,19,10.616842433106996,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.8, 'e': 0.22763768838381274}",20,2,17.247880005048586,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.8, 'e': 0.22582385189647586}",25,14,19.25232099276542,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.8, 'e': 0.22402446821274175}",20,10,-18.295895389962904,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
189,False,"{'a': 0.8, 'e': 0.22223942217144041}",20,15,8.072680415266177,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.8, 'e': 0.22046859952901593}",25,13,9.954831156258384,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.8, 'e': 0.21871188695221475}",20,13,-29.02186300950239,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.8, 'e': 0.21696917201083235}",20,0,18.260388661907097,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
193,False,"{'a': 0.8, 'e': 0.21524034317051757}",20,9,11.351677428782127,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.8, 'e': 0.21352528978563459}",30,17,-17.80852886031902,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
195,False,"{'a': 0.8, 'e': 0.21182390209218135}",20,13,11.59845927868345,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.8, 'e': 0.21013607120076472}",30,13,24.912411710598988,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.8, 'e': 0.20846168908963153}",25,0,30.277160810031567,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
198,False,"{'a': 0.8, 'e': 0.20680064859775515}",25,9,7.330043343459742,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.8, 'e': 0.20515284341797715}",25,0,-45.51396069941411,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
