trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-113.48560021240374,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",30,2,-175.78921252971716,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,0,-168.67224750466175,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-3.650490703396058,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-22.423295079300832,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,14,-16.633004412230207,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-113.63546603267272,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-68.09224063973588,"{0: 25, 1: 2, 2: 8, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-49.50288498478999,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-78.96297826694635,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-102.57290234549009,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",30,14,-46.913712258326186,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,0,-143.86791205159852,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,13,-103.2190111692405,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,0,-105.9622463396629,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-82.5064804155725,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,4,-63.13008226294073,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-117.68995802374323,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,9,-44.87489964837563,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-68.51796179430161,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,16,8.591008613235704,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-56.74683398823965,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,4,-59.55069613347599,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,0,-86.45860260466122,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,15,-9.239415589008654,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
